Country Name,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,,,,,,,,,,,,,1087875.796,12264016.6348,1300000,130502793.296089,184748603.351955,-36983240.2234637,-17932960.8938547,-73184357.5418994,-5530726.25698324,84469273.7430168,195921787.709497,83575418.9944134,463016759.776537,-127932960.893854,-266927374.301677,332513966.480447,159776536.312849,-105698324.022346,-207798005.868163,220316139.723839,-471005586.592179,18882681.5642458,-10614525.1396648,186759776.536313,488156424.581006,-314692737.430168,226371388.826816,250618094.972067,-28775856.424581,20982174.301676
Afghanistan,,40000,-240000,,1200000,9000000,180000,100000,,,,,400000,,,,-280000,360000,-20000,20000,-93326.6667,690000,-1460000,-10000,6040000,170000,680000,50000000,57800000,186900000,271000000,238000000,188690000,46033740,197512727.48,54200551,57620844,47226787.51,37638586,43510167.3,163102610,98995722.425
Angola,50000,-1170000,,1870000,2000000,37420000,49050000,115810000,104330000,67140000,278000000,234000000,119000000,131000000,200000000,-334800000,664500000,287956000,302100000,170300000,472427000,180559000,411660000,1113970000,2471460000,878620000,2145470000,1743504000,3576971780,2197227820,-1303836930,-37714860,-893342152,1678971010,2205298180,-3227211182.45,-3023770965.83688,-6897954558.89544,-7120017424.4614,1921699719.14449,9282167512.38257,4104422619.76545
Albania,,,,,,,,,,,,,,,,,,20000000,58000000,53000000,70000000,90100000,47500000,45010000,41200000,143000000,207300000,135000000,178036400.666667,341285112.537562,262479012.637464,325130000,652270000,1246940000,1342010000,1089860000,1049430000,920090000,1253790000,1149390000,991260000,1087540000
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,1993064060.69274,75228235.3214913,916354342.764177,633679217.962612,-137880541.760675,-3199743186.23158,7105627475.63001,11798713438.7079,5638970585.79482,6246719369.37016,2016875674.73326,2323239876.12081,28047556.8856191,1632039427.10903,1313650828.2652,2778949076.94373,2111305591.05692,3466824028.79316,4324148897.17106,3368155276.06928,13271440.6084598,3299808634.01077,6094422313.90399,8217677454.18277,1180110166.38425,3634677446.34352,6218877915.50486,5758421599.58327,14595438979.3745,21263905250.5436,46007410075.1831,69410959612.5606,81832690758.3696,88751293579.6057,76654441611.7901,70001307552.7893,44063839738.842,48688171365.9881,45713016253.1508,45480590913.0348,36777178693.9141,38562350206.8234
United Arab Emirates,15950000,49430000,112240000,39120000,64580000,97640000,-16940000,95060000,45540000,170240000,-220960000,110210000,46720000,188890000,38790000,-115820000,25940000,129720000,401320000,62460000,399850000,300520000,232430000,257660000,-985340000,-506330000,1183840000,95300000,4255956432.94758,10003500000,10899931926.4806,12805990469.7073,14186521443.1586,5062972004.83618,1134288135.283,8796769640.51645,7152095825.66185,8828372517.81249,9490990319.58979,10823379305.5165,8795099000,8985705000
Argentina,55590000,244680000,144000000,250000000,206000000,678000000,837000000,227000000,185000000,268000000,919000000,574000000,-19000000,1147000000,1028000000,1836000000,2439000000,4430977523.08014,2793085410.09827,3634931878.26435,5609423403.56467,6948536686.64725,9160272052.4446,7290657132.08156,23987696389.6428,10418314339.1428,2166136829.76399,2148910000,1652010000,4124710000,5265250000,5537340000,6473150000,9725560000,4017158924.88408,11332718626.4345,10839930944.6815,15323933916.8241,9821661858.15874,5065335541.96486,11758994011.286,3260164341.77393
Armenia,,,,,,,,,,,,,,,,,,2400000,800000,8000000,25320000,17570000,51940000,220830000,122040000,104188500,69868500,110725325.614409,122852992.703235,247140608.495888,292073220.164722,466531991.901724,667671562.134495,943733059.483284,760040745.87233,529321391.641959,653219756.47225,496636701.129687,346092394.393256,403898410.357675,178295867.11618,338115182.302507
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
